domain,base_url,logo_url,status,error,html_length
crocs.com.uy,https://www.crocs.com.uy/,https://f.fcdn.app/assets/commerce/www.crocs.com.uy/8656_f748/public/web/favicon.ico,success,,147990.0
ymcasteuben.org,https://www.ymcasteuben.org/,https://reclique-core-steuben.s3.amazonaws.com/wp-content/uploads/2021/08/31114053/cropped-y_logo_y-32x32.png,success,,52266.0
engie.co.uk,https://www.engie.co.uk/,https://www.engie.co.uk/wp-content/uploads/2025/01/cropped-Royal-Highness-King-Charles-III-on-9-May-1984-2-32x32.png,success,,104869.0
ibc-solar.jp,https://www.ibc-solar.jp/,https://www.ibc-solar.jp/config/Resources/favicons/apple-touch-icon.png,success,,16104.0
lidl.com.cy,https://www.lidl.com.cy/,https://www.lidl.com.cy/cdn/assets/logos/1.0.1/lidl-logo-shop-cdn.svg,success,,464223.0
nobleprog.mx,https://www.nobleprog.mx/,https://www.nobleprog.mx/favicon.png,success,,87048.0
freseniusmedicalcare.ca,https://www.freseniusmedicalcare.ca/,https://www.freseniusmedicalcare.ca/assets/images/favicon/apple-touch-icon-57x57.png,success,,73384.0
synlab.com.tr,https://www.synlab.com.tr/,https://www.synlab.com.tr/templates/synlab/favicon.ico,success,,40527.0
avis.cr,https://avis.cr/,https://avis.cr/favico.ico,success,,174310.0
ebayglobalshipping.com,https://www.ebayglobalshipping.com/,https://www.ebayglobalshipping.com/themes/custom/custom_barrio/app/images/favicon.ico,success,,17649.0
cafelasmargaritas.es,https://cafelasmargaritas.es/,https://cafelasmargaritas.es/wp-content/uploads/2023/12/cropped-ico-32x32.avif,success,,279079.0
affidea.ba,https://affidea.ba/,https://affidea.ba/wp-content/themes/affidea/assets/img/favicon.png,success,,168528.0
bakertilly.lu,https://www.bakertilly.lu/,https://www.bakertilly.lu/apple-touch-icon.png,success,,90249.0
spitex-wasseramt.ch,https://www.spitex-wasseramt.ch/,https://www.spitex-wasseramt.ch/img/spitex2014/default/favicon.ico,success,,30554.0
aamcoanaheim.net,https://www.aamcoanaheim.net/,https://www.aamcoanaheim.net/images/IconAAMCOnew.ico,success,,40607.0
deheus.com.vn,https://www.deheus.com.vn/,https://www.deheus.com.vn/Assets/favicons/apple-touch-icon.png,success,,217264.0
veolia.com.ru,https://www.veolia.com.ru/ru,https://www.veolia.com.ru/themes/custom/veo_site/src/assets/icons/favicon.ico,success,,85115.0
julis-sh.de,https://julis-sh.de/,https://julis-sh.de/wp-content/uploads/2022/06/220605_Julia_Favicon_148-150x150.png,success,,137768.0
aamcoconyersga.com,https://www.aamcoconyersga.com/,https://www.aamcoconyersga.com/images/IconAAMCOnew.ico,success,,43165.0
renault-tortosa.es,https://www.renault-tortosa.es/,https://www.renault-tortosa.es/img_src/renault-logo-2023.svg,success,,70438.0
oil-testing.de,https://oil-testing.de/,https://oil-testing.de/wp-content/uploads/2021/07/cropped-BV_Logo_Grey_Pantone_404-removebg-preview-1-e1625230190692-32x32.png,success,,138100.0
baywa-re.es,https://www.baywa-re.es/en/,https://www.baywa-re.es/typo3conf/ext/gg_base/Resources/Public/country/dist/img/favicons/favicon.ico,success,,120555.0
menschenfuermenschen.at,https://www.menschenfuermenschen.at/,https://www.menschenfuermenschen.at/favicon-96x96.png,success,,212892.0
europa-union-sachsen-anhalt.de,https://www.europa-union-sachsen-anhalt.de/,https://www.europa-union-sachsen-anhalt.de/typo3conf/ext/skeud/Resources/Public/Icons/eud.ico,success,,104652.0
wurthsaudi.com,https://wurthsaudi.com/,https://wurthsaudi.com/assets/img/favicon1.png,success,,27946.0
pirtek.be,https://www.pirtek.be/,https://www.pirtek.be/wp-content/uploads/2021/03/PIR_rgb_favicon-32.png,success,,141807.0
aamcoseguin.com,https://www.aamcoseguin.com/,https://www.aamcoseguin.com/wp-content/uploads/2018/11/cropped-AAMCO_favicon-192x192.png ,success,,124132.0
bakertilly.es,https://www.bakertilly.es/,https://www.bakertilly.es/apple-touch-icon.png,success,,114561.0
mazda-autohaus-kaschmieder-waren.de,https://www.mazda-autohaus-kaschmieder-waren.de/,https://www.assets.mazda-autohaus.de/assets/img/favicons/apple-icon.png,success,,60727.0
zkteco.vn,https://www.zkteco.vn/,https://new-website-file.s3.ap-southeast-1.amazonaws.com/images/20211210/180197e5dfdfeee4e74ac04365df3b65.png,success,,143154.0
allianz.nl,https://www.allianz.nl/zakelijk.html,https://www.allianz.nl/content/dam/onemarketing/system/favicon/AZ_Logo_eagle.png/_jcr_content/renditions/cq5dam.web.180.180.png,success,,149071.0
xella-colloquium.berlin,,,fail,,
unicharm.com.br,https://www.unicharm.com.br/pt/home.html,https://www.unicharm.com.br/content/dam/sites/www_unicharm_com_br/images/common/favicon.png,success,,25276.0
berlitz-augsburg.de,https://www.berlitz-augsburg.de/,https://www.berlitz-augsburg.de/favicon-32x32.png?v=a9801145592d60e986594599316ccd3b,success,,196652.0
intertongn.es,https://intertongn.es/,https://intertongn.es/wp-content/uploads/2019/07/cropped-interton-favicom-100x100.jpg,success,,173204.0
bmw-motorrad-euromotos-lyon.fr,https://bmw-motorrad-euromotos-lyon.fr/,https://bmw-motorrad-euromotos-lyon.fr/img/favicon.ico?1669278719,success,,42500.0
rsmpoland.pl,https://www.rsmpoland.pl/,https://www.rsmpoland.pl/themes/custom/rsm_poland/images/favicons/favicon.ico,success,,157547.0
esseskincare.sg,https://esseskincare.sg/,https://esseskincare.sg/wp-content/uploads/2024/09/esse_logo_darker2.png,success,,143580.0
secureparkinghi.com,https://www.secureparkinghi.com/,https://www.secureparkinghi.com/wp-content/uploads/2021/10/Favicon.png,success,,73056.0
trinkgutlippstadt.de,https://trinkgutlippstadt.de/,https://trinkgutgeilenkirchen.de/wp-content/uploads/2014/02/favicon.png,success,,87108.0
bauder.lt,https://www.bauder.lt/lt/bauder-lithuania.html,https://www.bauder.lt/fileadmin/bilder/allgemein/icons/bauder_ipad_icon.png,success,,43777.0
savethechildren.ca,https://www.savethechildren.ca/,https://www.savethechildren.ca/wp-content/themes/stc/images/favicon.png,success,,111304.0
mazda-autohaus-lackmann-sendenhorst.de,https://www.mazda-autohaus-lackmann-sendenhorst.de/,https://www.assets.mazda-autohaus.de/assets/img/favicons/apple-icon.png,success,,65937.0
avoncameroun.com,,,fail,,
menicon.de,https://www.menicon.de/,https://www.menicon.de/favicon.ico,success,,65055.0
linde-gas.fi,https://www.linde-gas.fi/shop/fi/fi-ig/home,https://static.prd.echannel.linde.com/wcsstore/EE_REN_Industrial_Gas_Store/images/Linde_plc_UTG_logo_1_CMYK_IsoCV2.png,success,,586579.0
mateco.nl,https://www.mateco.nl/nl/start-een-huurverzoek/,https://www.mateco.nl/fileadmin/shared/img/favicon.ico,success,,65311.0
svnefird.com,https://svnefird.com/,https://svnefird.com/wp-content/uploads/2024/01/cropped-SVN-Efird-Favicon-32x32.png,success,,618929.0
svntrinity.com,https://svntrinity.com/,https://svntrinity.com/wp-content/uploads/2019/06/svnicon.png,success,,96379.0
orient-food.sk,https://www.orient-food.sk/,https://www.orient-food.sk/favicon.ico,success,,338649.0
noiseassessments.org,https://noiseassessments.co.uk/,"https://img1.wsimg.com/isteam/ip/51529fc3-9fb4-4db5-a99a-5b6ff8ed3034/favicon/6d366f56-a5b7-4746-bd9d-5be2830f79f3.jpeg/:/rs=w:16,h:16,m",success,,337065.0
equans.hu,https://equans.hu/hu/,https://equans.hu/wp-content/uploads/cropped-favicon-32x32.png,success,,142256.0
williamblairfunds.com,https://www.williamblairfunds.com/,https://www.williamblairfunds.com/SiteFiles/live/images/icons/cropped-android-chrome-512x512-32x32.png,success,,34810.0
mazdaofamarillo.com,,,fail,,
mazda-autohaus-roessel-birkenau.de,https://www.mazda-autohaus-roessel-birkenau.de/,https://www.assets.mazda-autohaus.de/assets/img/favicons/apple-icon.png,success,,64510.0
aamcodelran.com,https://www.aamcodelran.com/,https://www.aamcodelran.com/images/IconAAMCOnew.ico,success,,44471.0
mazda-poznan-voyager.pl,https://www.mazda-poznan-voyager.pl/,https://www.mazda-poznan-voyager.pl/Themes/templateTheme/images/favicon/apple-touch-icon.png,success,,113090.0
kapanfastigheter.se,https://kapanfastigheter.se/,https://kapanfastigheter.se/wp-content/uploads/2023/06/cropped-favicon.png,success,,79734.0
mazda-autohaus-wassing-ahaus-wuellen.de,https://www.mazda-autohaus-wassing-ahaus-wuellen.de/,https://www.assets.mazda-autohaus.de/assets/img/favicons/apple-icon.png,success,,62012.0
rheine.schule,https://rheine.schule/,https://rheine.schule/wp-content/uploads/2017/07/cropped-Logo-Stadt-Rheine-Leben-an-der-Ems-in-Farbe-32x32.jpg,success,,8188.0
ford.pl.ua,https://ford.pl.ua/,https://ford.pl.ua/build/website/img/ford_logo.e264b95b.svg,success,,222837.0
bioderma.co.za,https://www.bioderma.co.za/,https://www.bioderma.co.za/themes/custom/bioderma_theme/favicon.ico,success,,283470.0
linexps.com,https://www.linexps.com/,https://images.squarespace-cdn.com/content/v1/5fd92ad7ab943321efbb1f5f/1608229260341-1MIHZY9GERKI3I7RC8AR/favicon.ico?format=100w,success,,83497.0
kalyanmachines.com,https://www.kalyanmachines.com/,https://www.kalyanmachines.com/wp-content/uploads/2024/01/cropped-Artboard-1-32x32.png,success,,644818.0
kia-suedmobile-radolfzell.de,https://www.kia-suedmobile-radolfzell.de/,https://www.kia-suedmobile-radolfzell.de/etc.clientlibs/settings/wcm/designs/eut/clientlib/resources/rbr/rbr-fav.ico,success,,158842.0
worldvision.ca,,,fail,,
linde-gas.at,https://www.linde-gas.at/shop/de/at-ig/home,https://static.prd.echannel.linde.com/wcsstore/AT_REC_Industrial_Gas_Store/images/logo/linde_gas_logo.png,success,,583104.0
renaultsanzhispano.es,https://renaultsanzhispano.es/,https://renaultsanzhispano.es/wp-content/uploads/2024/05/cropped-favicon-32x32.png,success,,272930.0
avia.ch,https://www.avia.ch/,https://www.avia.ch/apple-touch-icon-57x57.png,success,,28963.0
cdviberica.com,https://www.cdviberica.com/es/,https://www.cdviberica.com/wp-content/uploads/sites/11/2021/12/cropped-CDVI_Logo_Icon_Blue-300x300.png,success,,210912.0
adecco.cl,https://www.adecco.com/es-cl,https://www.adecco.com/-/jssmedia/project/adecco/global/favicon.png,success,,252323.0
wurth.co,https://www.wurth.co/,https://www.wurth.co/favicon.png,success,,3100.0
nestle.com.vn,https://www.nestle.com.vn/vi,https://www.nestle.com.vn/themes/custom/da_vinci_code/images/favicons/favicon.ico,success,,395997.0
daikin.ge,https://www.daikin.ge/en_GE/home.html,https://www.daikin.ge/etc.clientlibs/daikin/clientlibs/clientlib-internet-site/resources/images/app-icon/apple-touch-icon.png,success,,87901.0
ibc-solar.pl,https://www.ibc-solar.pl/,https://www.ibc-solar.pl/config/Resources/favicons/apple-touch-icon.png,success,,36656.0
toyotanatas.com.tr,https://www.toyotanatas.com.tr/,https://www.toyotanatas.com.tr/Assets/img/apple-touch-icon.png,success,,195160.0
mazda-autohaus-henseler-schwedt.de,https://www.mazda-autohaus-henseler-schwedt.de/,https://www.assets.mazda-autohaus.de/assets/img/favicons/apple-icon.png,success,,60496.0
aamcobloomfield.com,https://www.aamcobloomfield.com/,https://www.aamcobloomfield.com/images/IconAAMCOnew.ico,success,,44100.0
zalando.dk,,,fail,,
mazda.de,https://www.mazda.de/,https://www.mazda.de/favicon-48x48.png,success,,451841.0
crocs.co.id,https://www.crocs.co.id/,https://www.crocs.co.id/media/favicon/stores/1/CROCS_ICON_1_.png,success,,321463.0
daikinkuwait.com,https://www.daikinkuwait.com/en_us/customers.html,https://www.daikinkuwait.com/etc.clientlibs/daikin/clientlibs/clientlib-internet-site/resources/images/app-icon/apple-touch-icon.png,success,,126965.0
bbraun.rs,https://www.bbraun.rs/sr.html,https://www.bbraun.rs/etc.clientlibs/settings/wcm/designs/clientlibs/bbraun/bbraun.static/resources/img/favicon.ico,success,,45335.0
daikin.com.sg,https://www.daikin.com.sg/,https://www.daikin.com.sg/apple-icon.png,success,,125681.0
aamcosalemor.com,https://www.aamcosalemor.com/,https://www.aamcosalemor.com/images/IconAAMCOnew.ico,success,,42581.0
spitex-regionbirs.ch,https://www.spitex-regionbirs.ch/,https://www.spitex-regionbirs.ch/img/spitex2022/default/favicon.ico,success,,23813.0
mazda-autohaus-hansmann-kassel.de,https://www.mazda-autohaus-hansmann-kassel.de/,https://www.assets.mazda-autohaus.de/assets/img/favicons/apple-icon.png,success,,68521.0
einhell.ba,https://www.einhell.ba/,https://www.einhell.ba/_assets/369fecbaddba51f6af024f761a766400/Assets/favicons/favicon.png,success,,126220.0
linexofschererville.com,https://www.linex.com/find-a-location,https://www.linex.com/favicon.ico,success,,59912.0
webster.nl,https://www.webster.nl/,https://templates2020.webster.edu/_resources/images/favicons/apple-icon-57x57.png,success,,68184.0
flashbay.ca,https://www.flashbay.ca/,https://static.flashbay.ca/templates/images/favicon.ico,success,,542711.0
pingusenglish.com.tr,,,fail,,
compo.de,https://www.compo.de/,https://www.compo.de/dam/jcr:c912f64c-ed6f-4eb6-b5ef-b328cf2adcfa/apple-touch-icon-114x114.png,success,,414271.0
aamcowilliamsportpa.com,https://www.aamcowilliamsportpa.com/,https://www.aamcowilliamsportpa.com/images/IconAAMCOnew.ico,success,,44110.0
pkf-hk.com,https://www.pkf-hk.com/,https://www.pkf-hk.com/favicon.ico,success,,29997.0
linde-electronics.com,https://www.linde-electronics.com/shop/de/de-le/home,https://static.prd.echannel.linde.com/wcsstore/DE_REC_Industrial_Gas_Store/images/logo/linde_gas_logo.png,success,,367881.0
besins-healthcare.se,https://www.besins-healthcare.se/,https://www.besins-healthcare.se/favicon.png,success,,52089.0
subaru.jp,https://www.subaru.jp/,https://www.subaru.jp/apple-touch-icon.png,success,,53041.0
renaultmerida.com.mx,,,fail,,
cvjm-pfalz.de,https://www.cvjm-pfalz.de/,https://www.cvjm-pfalz.de/favicon.ico,success,,23887.0
medef-alsace.com,,,fail,,
allianz-kuhlemann.de,https://vertretung.allianz.de/kuhlemann.vertretung/,https://vertretung.allianz.de/content/dam/onemarketing/system/allianz-eagle.svg/_jcr_content/renditions/cq5dam.thumbnail.48.48.png,success,,563491.0
tbwa.co.za,https://www.tbwa.co.za/,https://www.tbwa.co.za/apple-icon-57x57.png,success,,17157.0
veolia.fr,https://www.veolia.fr/,https://www.veolia.fr/themes/custom/veo_site/src/assets/icons/favicon.ico,success,,283195.0
engie.pt,https://www.engie.pt/,https://www.engie.pt/favicon.ico,success,,29077.0
subaru.nc,https://subaru.nc/,https://subaru.nc/favicon.ico?20250331184609,success,,40090.0
peugeot.sk,https://www.peugeot.sk/,https://www.peugeot.sk/etc/designs/peugeot/favicon.ico,success,,235009.0
siebtechnik-tema.cn,https://www.siebtechnik-tema.cn/,https://www.siebtechnik-tema.cn/wp-content/themes/tema/assets/images/favicon.ico,success,,107067.0
santillana.com.hn,https://www.santillana.com.hn/,https://www.santillana.com.hn/wp-content/uploads/sites/16/2024/10/cropped-1538077230_original-150x150.webp,success,,169185.0
intersport-rent.fr,,,fail,,
mazdabali.co.id,https://mazdabali.co.id/,https://mazdabali.co.id/wp-content/uploads/2021/09/icon-150x150.png,success,,209774.0
rsmthailand.com,https://www.rsm.global/thailand,https://res.cloudinary.com/rsmglobal/image/fetch/t_default/f_auto/q_auto/https://www.rsm.global/thailand/profiles/rsm_global_platform/themes/rsm_global_platform_2022/images/favicons/favicon-32x32.png,success,,87696.0
spitex-wiggertal.ch,https://www.spitex-wiggertal.ch/,https://www.spitex-wiggertal.ch/img/spitex2022/default/favicon.ico,success,,38672.0
aamcocatonsvillemd.com,https://www.aamcocatonsvillemd.com/,https://www.aamcocatonsvillemd.com/images/IconAAMCOnew.ico,success,,43289.0
strabag-pfs.com,https://www.strabag-pfs.com/,https://www.strabag-pfs.com/site/strabag-company-locale/resourceCached/95/components/favicon/strabag-pfs/xapple-touch-icon.png.pagespeed.ic.HHaNst48Gb.png,success,,65875.0
autosecuritas-barlin.fr,https://www.autosecuritas-barlin.fr/public/,https://www.autosecuritas-barlin.fr/public/img/showcase/favicons/apple-touch-icon.png,success,,98835.0
aamco-councilbluffs.com,https://www.aamco-councilbluffs.com/,https://www.aamco-councilbluffs.com/wp-content/uploads/2018/11/cropped-AAMCO_favicon-192x192.png ,success,,136293.0
meggle-bakery.com,https://www.meggle-bakery.com/,https://cdn.meggle.com/app/themes/meggle/public/images/clover-icon-32.512bfc.png,success,,160428.0
nutriciababy.be,https://www.nutriciababy.be/,https://www.nutriciababy.be/content/dam/sn/local/bnl/consumer/sitecore-assets-migrated/nvj-favicon.ico,success,,75752.0
pcllawyersfrankston.com.au,https://www.pcllawyersfrankston.com.au/,https://www.pcllawyersfrankston.com.au/wp-content/uploads/2022/08/favicon.ico,success,,98580.0
adra.org.pe,https://adra.org.pe/,https://adra.org.pe/wp-content/uploads/2022/03/adra-fav-150x150.png,success,,250182.0
nestle.ch,https://www.nestle.ch/de,https://www.nestle.ch/themes/custom/da_vinci_code/images/favicons/favicon.ico,success,,323451.0
mazda-autohaus-sturne-rochlitz.de,https://www.mazda-autohaus-sturne-rochlitz.de/,https://www.assets.mazda-autohaus.de/assets/img/favicons/apple-icon.png,success,,61678.0
inductotherm.co.kr,https://inductotherm.co.kr/,https://inductotherm.co.kr/wp-content/uploads/sites/38/2019/06/cropped-inductotherm-icon-1-32x32.png,success,,106072.0
renault.dk,https://www.renault.dk/,https://www.renault.dk/-/jssmedia/Project/Hedin/Navigo/Renault/RenaultDkSite/favicon.ico,success,,139497.0
wurth.com.uy,https://eshop.wurth.com.uy/es/UY/UYU/,https://www.wuerth.de/web/media/system/layout/images/apple_touch_icons/white/red-apple-touch-icon_res_wl2_touch_16.png,success,,162994.0
renaultchiva.com,https://www.renaultchiva.com/,https://www.renaultchiva.com/img_src/renault-logo-2023.svg,success,,67751.0
culliganwi.com,https://www.culliganwi.com/,https://www.culliganwi.com/images/favicons/favicon.ico,success,,211250.0
mazda-autohaus-blank-dinkelsbuehl.de,https://www.mazda-autohaus-blank-dinkelsbuehl.de/,https://www.assets.mazda-autohaus.de/assets/img/favicons/apple-icon.png,success,,59382.0
veolia.ca,https://www.veolia.ca/en,https://www.veolia.ca/themes/custom/veo_site/src/assets/icons/favicon.ico,success,,82345.0
vitalimages.com,https://www.mi.medical.canon/,https://www.mi.medical.canon/favicon.ico,success,,91838.0
amnesty.is,https://amnesty.is/,https://amnesty.is/favicons/apple-touch-icon.png,success,,113661.0
meggle.co.jp,https://www.meggle.co.jp/,https://cdn.meggle.com/app/themes/meggle/public/images/clover-icon-32.512bfc.png,success,,200684.0
engie.cl,https://www.engie.cl/,https://www.engie.cl/wp-content/uploads/2022/07/cropped-cropped-engie-ico-300x300-1-32x32.png,success,,83579.0
linde-finance.com,https://www.linde-finance.com/,https://assets.linde.com/-/media/shared/favicon/apple-touch-icon-64x64.png?r=9626e16d64,success,,472105.0
linde.pe,https://www.linde.pe/,https://assets.linde.com/-/media/shared/favicon/apple-touch-icon-64x64.png,success,,487607.0
narscosmetics.es,https://www.narscosmetics.es/es,https://www.narscosmetics.es/fstrz/r/s/www.narscosmetics.es/on/demandware.static/Sites-nars_es-Site/-/default/dw9554f849/images/favicon.ico?frz-v=1039,success,,186442.0
brother.com.pe,https://www.brother.com.pe/,https://www.brother.com.pe/-/media/project/neptune/peru/icons/logo-white.svg?la=es-PE&hash=FE29FE0EC599A4B87DB973E72E3FA63C,success,,66600.0
renaultrycauto.es,https://www.renaultrycauto.es/,https://www.renaultrycauto.es/img_src/renault-logo-2023.svg,success,,64869.0
kia-gorny-eislingen.de,https://www.kia-gorny-eislingen.de/,https://www.kia-gorny-eislingen.de/etc.clientlibs/settings/wcm/designs/eut/clientlib/resources/rbr/rbr-fav.ico,success,,158796.0
ikea.com.hk,https://www.ikea.com.hk/zh,https://www.ikea.com.hk/webroot/img/favicon_16px.png,success,,1702493.0
mazda-autohaus-becker-homburg-bruchhof.de,https://www.mazda-autohaus-becker-homburg-bruchhof.de/,https://www.assets.mazda-autohaus.de/assets/img/favicons/apple-icon.png,success,,60727.0
catsprotectionshop.co.uk,https://www.catsprotectionshop.co.uk/,https://www.catsprotectionshop.co.uk/Favicon.ico,success,,23444.0
culliganheartland.com,https://www.culliganheartland.com/,https://www.culliganheartland.com/images/favicons/favicon.ico,success,,217265.0
wurth-international.com.cn,https://www.wurth-international.com.cn/en/w_int/company/index/start_page.php,https://www.wurth-international.com.cn/media/system/layout_wl2bootstrap/bootstrap_system_images/touchicons/touchicon_wuerth_res_wl2_touch_16.png,success,,83583.0
medef-artois.fr,https://www.medef-artois.fr/fr/,https://www.medef-artois.fr/favicon.png,success,,48029.0
sephora.pl,,,fail,,
daikin-ksa.com,https://www.daikin-ksa.com/ar_sa/customers.html,https://www.daikin-ksa.com/etc.clientlibs/daikin/clientlibs/clientlib-internet-site/resources/images/app-icon/apple-touch-icon.png,success,,114431.0
sherwin-williams.com.ec,https://www.sherwin-williams.com.ec/,https://www.sherwin-williams.com.ec/wp-content/themes/sherwinwilliams/favicon.ico,success,,45335.0
culligantotalwater.com,https://www.culligantotalwater.com/,https://www.culligantotalwater.com/images/favicons/favicon.ico,success,,220105.0
ecslupsk.pl,https://ecslupsk.pl/,https://ecslupsk.pl/img/favicon.png,success,,26368.0
kierpensions.co.uk,https://kierpensions.co.uk/,https://kierpensions.co.uk/wp-content/uploads/2023/09/Kier-Favicon.png,success,,127238.0
bakertilly.ci,https://www.bakertilly.ci/,https://www.bakertilly.ci/apple-touch-icon.png,success,,92782.0
allianz-rose.info,https://vertretung.allianz.de/ulrich.rose/,https://vertretung.allianz.de/content/dam/onemarketing/system/allianz-eagle.svg/_jcr_content/renditions/cq5dam.thumbnail.48.48.png,success,,524289.0
linak.nl,,,fail,,
taylorfarmsdeli.com,https://taylorfarmsdeli.com/,https://taylorfarmsdeli.com/apple-touch-icon-57x57.png,success,,30826.0
actemium.ch,https://www.actemium.ch/,https://www.actemium.ch/app/themes/actemium/resources/assets/images/favicons/apple-touch-icon.png,success,,1014842.0
bakertilly.ky,https://www.bakertilly.ky/,https://www.bakertilly.ky/apple-touch-icon.png,success,,51618.0
chip.pl,https://www.chip.pl/,https://www.chip.pl/favicons/apple-touch-icon.png?v=02,success,,367837.0
grantthornton.com.sv,https://www.grantthornton.com.sv/,https://www.grantthornton.com.sv/dist/images/grantthornton_logo-57x57.png,success,,492456.0
bakertilly.com.pa,https://www.bakertilly.com.pa/es/,https://www.bakertilly.com.pa/hubfs/sticky-logo.svg,success,,151438.0
vkf-renzel.com.tr,https://www.vkf-renzel.com.tr/,https://www.vkf-renzel.com.tr/out/ra-theme/img/favicons/apple-touch-icon.png,success,,174642.0
fleishmanhillard.cn,https://fleishmanhillard.cn/,https://fleishmanhillard.cn/wp-content/themes/fleishmanhillard-sites/images/fh-mark.png,success,,45209.0
isover.hu,https://www.isover.hu/,https://www.isover.hu/sites/mac3.isover.hu/files/Favicon%20isover%20%20new%20%281%29.png,success,,183298.0
bauder.at,https://www.bauder.at/at/bauder-oesterreich.html,https://www.bauder.at/fileadmin/bilder/allgemein/icons/bauder_ipad_icon.png,success,,128499.0
renaulttersa.com.mx,https://renaulttersa.com.mx/,https://renaulttersa.com.mx/wp-content/uploads/2023/06/favicon-renault-min-150x150.png,success,,67595.0
zktecoma.com,https://zktecoma.com/,https://zktecoma.com/wp-content/uploads/2021/01/cropped-favicon-32x32-1-32x32.png,success,,272254.0
aamcotulsa-memorial.com,https://www.aamcotulsa-memorial.com/,https://www.aamcotulsa-memorial.com/images/IconAAMCOnew.ico,success,,43912.0
azets.ie,https://www.azets.ie/,https://www.azets.ie/favicon.ico,success,,121536.0
lidl.lt,https://www.lidl.lt/,https://www.lidl.lt/cdn/assets/logos/1.0.1/lidl-logo-shop-cdn.svg,success,,519452.0
mooresingapore.com,https://www.mooresingapore.com/,https://www.mooresingapore.com/App_Themes/Default/Images/favicon.ico,success,,49747.0
urmet.com.br,https://www.urmet.com.br/,https://urmet.com.br/uploads/smoke-detector--1-.png,success,,375617.0
ccusa.com.au,https://ccusa.com.au/,https://ccusa.com.au/wp-content/uploads/2023/02/elementor/thumbs/favicon_noGlobeRound-qajrjo512ai2oh7ixchhx7bnlqb2o6o9g5aqgvfk38.png,success,,125675.0
toysrus.com.sg,https://www.toysrus.com.sg/,https://www.toysrus.com.sg/on/demandware.static/Sites-ToysRUs_SG-Site/-/default/dwd36f3281/images/favicon/favicon-tru-16.png,success,,194939.0
aamcopasadenatx.com,https://www.aamcopasadenatx.com/,https://www.aamcopasadenatx.com/images/IconAAMCOnew.ico,success,,42258.0
manpowergroup.no,https://www.manpowergroup.no/,https://www.manpowergroup.no/hubfs/ManpowerGroup%20favicon.png,success,,76679.0
mapfre.pr,https://www.mapfre.pr/,https://www.mapfre.pr/media/favicon.png,success,,158714.0
medef-bearnetsoule.com,https://www.medef-bearnetsoule.com/fr/,https://www.medef-bearnetsoule.com/favicon.png,success,,26444.0
moore.swiss,https://moore.swiss/,https://moore.swiss/wp-content/themes/moore/img/icons/favicon.png,success,,35327.0
ccusa.hu,https://ccusa.hu/hu/,https://ccusa.hu/wp-content/uploads/2023/02/elementor/thumbs/favicon_noGlobeRound-qajrjo512ai2oh7ixchhx7bnlqb2o6o9g5aqgvfk38.png,success,,136391.0
modshair-nuernberg.de,https://www.modshair-nuernberg.de/,https://www.modshair-nuernberg.de/wp-content/uploads/2023/02/64.png,success,,541055.0
cdu-aldenhoven.de,https://www.cdu-aldenhoven.de/,https://www.cdu-kreis-dueren.de/apple-touch-icon.png,success,,14113.0
axabreakdown.co.uk,https://www.axabreakdown.co.uk/,https://www.axabreakdown.co.uk/assets/images/favicon.ico,success,,19699.0
